tweet_id,timestamp,rating_numerator,rating_denominator,stage,name,jpg_url,source_new_x,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,retweet_count,favorite_count
666020888022790149,2015-11-15 22:32:08,8,10,None,None,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,welsh_springer_spaniel,0.465074,True,collie,0.156665,532,2535
666029285002620928,2015-11-15 23:05:30,7,10,None,a,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,redbone,0.506826,True,miniature_pinscher,0.0741916999999999,48,132
666033412701032449,2015-11-15 23:21:54,9,10,None,a,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,german_shepherd,0.596461,True,malinois,0.1385839999999999,47,128
666044226329800704,2015-11-16 00:04:52,6,10,None,a,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,rhodesian_ridgeback,0.408143,True,redbone,0.360687,147,311
666049248165822465,2015-11-16 00:24:50,5,10,None,None,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,miniature_pinscher,0.560311,True,rottweiler,0.243682,41,111
666050758794694657,2015-11-16 00:30:50,10,10,None,a,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,bernese_mountain_dog,0.651137,True,english_springer,0.263788,60,136
666051853826850816,2015-11-16 00:35:11,2,10,None,an,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,box_turtle,0.933012,False,mud_turtle,0.0458854,879,1253
666055525042405380,2015-11-16 00:49:46,10,10,None,a,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,chow,0.692517,True,tibetan_mastiff,0.0582793999999999,261,448
666057090499244032,2015-11-16 00:55:59,9,10,None,a,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,shopping_cart,0.962465,False,shopping_basket,0.0145937999999999,146,304
666058600524156928,2015-11-16 01:01:59,8,10,None,the,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,miniature_poodle,0.201493,True,komondor,0.192305,61,115
666063827256086533,2015-11-16 01:22:45,10,10,None,the,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1,golden_retriever,0.77593,True,tibetan_mastiff,0.0937178,232,496
666071193221509120,2015-11-16 01:52:02,9,10,None,None,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,gordon_setter,0.503672,True,yorkshire_terrier,0.174201,67,154
666073100786774016,2015-11-16 01:59:36,10,10,None,None,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1,walker_hound,0.260857,True,english_foxhound,0.1753819999999999,174,335
666082916733198337,2015-11-16 02:38:37,6,10,None,None,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1,pug,0.489814,True,bull_mastiff,0.4047219999999999,47,121
666094000022159362,2015-11-16 03:22:39,9,10,None,None,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1,bloodhound,0.195217,True,german_shepherd,0.0782598,79,169
666099513787052032,2015-11-16 03:44:34,8,10,None,None,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1,lhasa,0.58233,True,shih-tzu,0.166192,73,164
666102155909144576,2015-11-16 03:55:04,11,10,None,None,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,http://twitter.com/download/iphone rel=nofollow,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1,english_setter,0.298617,True,newfoundland,0.149842,16,81
